date,account_value
2017-08-22,1308501.2563282487
2017-08-23,1318362.142053846
2017-08-24,1320878.8823286628
2017-08-25,1310985.7204168814
2017-08-28,1313797.9985570896
2017-08-29,1320930.412649012
2017-08-30,1311174.956853543
2017-08-31,1320923.6482860637
2017-09-01,1326163.6289751644
2017-09-05,1334247.6588708092
2017-09-06,1326229.7692447915
2017-09-07,1325752.9163553193
2017-09-08,1323718.1005692473
2017-09-11,1321807.5980124527
2017-09-12,1325635.037969662
2017-09-13,1320819.6875418334
2017-09-14,1321706.9147951985
2017-09-15,1312377.0279391406
2017-09-18,1313326.4459836509
2017-09-19,1332971.41248508
2017-09-20,1332538.3234813295
2017-09-21,1344465.1049066426
2017-09-22,1341037.8568624104
2017-09-25,1340951.4626002368
2017-09-26,1352978.47278169
2017-09-27,1360125.9745189077
2017-09-28,1356958.8772350128
2017-09-29,1358035.1180538945
2017-10-02,1366349.425481119
2017-10-03,1367166.169027205
2017-10-04,1366255.0912951394
2017-10-05,1366543.1648936388
2017-10-06,1370199.4404732732
2017-10-09,1370546.0295863415
2017-10-10,1364137.35185008
2017-10-11,1368958.08060523
2017-10-12,1356750.3630107096
2017-10-13,1358160.490877156
2017-10-16,1354053.9635763457
2017-10-17,1360889.1840155046
2017-10-18,1417502.571966786
2017-10-19,1412829.2067619541
2017-10-20,1411402.182276377
2017-10-23,1410206.7646183753
2017-10-24,1409997.0373983919
2017-10-25,1419559.3894500998
2017-10-26,1416295.3497983015
2017-10-27,1420563.3853206616
2017-10-30,1428103.6238004998
2017-10-31,1421940.7168140556
2017-11-01,1425324.3292570522
2017-11-02,1427582.7992224412
2017-11-03,1432721.562945471
2017-11-06,1424861.1680394069
2017-11-07,1441291.127054351
2017-11-08,1435400.2225119148
2017-11-09,1435632.9840716163
2017-11-10,1446481.1471332668
2017-11-13,1451926.9857565297
2017-11-14,1462302.608775741
2017-11-15,1466711.2251161109
2017-11-16,1474285.3475999734
2017-11-17,1454266.145866844
2017-11-20,1463559.1876207718
2017-11-21,1452289.2217438612
2017-11-22,1445137.8120017175
2017-11-24,1448317.4071851652
2017-11-27,1457995.704713881
2017-11-28,1469037.183872919
2017-11-29,1477647.363936389
2017-11-30,1480576.6892386903
2017-12-01,1477947.32852467
2017-12-04,1478297.5096375982
2017-12-05,1480398.968706775
2017-12-06,1493820.9632749937
2017-12-07,1508017.610432968
2017-12-08,1501949.147746986
2017-12-11,1498563.3478303412
2017-12-12,1496267.306639042
2017-12-13,1494666.8672054976
2017-12-14,1495614.8622765485
2017-12-15,1493949.3281142563
2017-12-18,1494716.4809112346
2017-12-19,1485605.9873247189
2017-12-20,1508177.263136291
2017-12-21,1533124.3713982832
2017-12-22,1549229.790934094
2017-12-26,1557913.9158697037
2017-12-27,1561222.680034671
2017-12-28,1557193.9351417106
2017-12-29,1569676.1010792817
2018-01-02,1586423.325748439
2018-01-03,1586131.043350246
2018-01-04,1600039.927152091
2018-01-05,1599447.8739857632
2018-01-08,1611832.4640016253
2018-01-09,1631999.2871448589
2018-01-10,1648337.9025292443
2018-01-11,1644463.6521495671
2018-01-12,1647722.3161760538
2018-01-16,1667277.6048339622
2018-01-17,1665611.8824721228
2018-01-18,1656519.9166051059
2018-01-19,1661231.2597729908
2018-01-22,1641199.626117228
2018-01-23,1612004.3999726982
2018-01-24,1549486.9125657582
2018-01-25,1586361.6857889122
2018-01-26,1566949.6870221454
2018-01-29,1506539.549298508
2018-01-30,1528093.9576519162
2018-01-31,1551051.616266669
2018-02-01,1560183.751125009
2018-02-02,1589184.8626662204
2018-02-05,1611869.8115241246
2018-02-06,1610709.002080393
2018-02-07,1619682.6115547142
2018-02-08,1623017.3796750975
2018-02-09,1621201.099485637
2018-02-12,1646538.1824965202
2018-02-13,1666535.265335389
2018-02-14,1638394.1858686574
2018-02-15,1630903.1776202691
2018-02-16,1599990.9290931725
2018-02-20,1611796.5983260197
2018-02-21,1629013.3168123285
2018-02-22,1642913.966873322
2018-02-23,1643604.9661068227
2018-02-26,1655946.6735037216
2018-02-27,1691643.0733323726
2018-02-28,1697421.8631071
2018-03-01,1682379.7343482482
2018-03-02,1684550.2526883902
2018-03-05,1679968.305263457
2018-03-06,1673844.4546311346
2018-03-07,1642739.9632692416
2018-03-08,1654897.2953721625
2018-03-09,1649779.1519798974
2018-03-12,1605566.1132050361
2018-03-13,1567611.2821962559
2018-03-14,1616544.0833266724
2018-03-15,1563131.560608615
2018-03-16,1548794.7614471745
2018-03-19,1576921.4790625959
2018-03-20,1526374.0585882813
2018-03-21,1543120.8890447854
2018-03-22,1560992.0480106268
2018-03-23,1534401.334869955
2018-03-26,1538165.9920378611
2018-03-27,1567330.3902499168
2018-03-28,1557285.6259922362
2018-03-29,1573253.7106338008
2018-04-02,1561132.1852974547
2018-04-03,1577190.7657884096
2018-04-04,1612497.6465493103
2018-04-05,1617968.5040484883
2018-04-06,1618272.0449526513
2018-04-09,1598848.4717689252
2018-04-10,1594356.7051167572
2018-04-11,1554203.380316619
2018-04-12,1556592.0539402792
2018-04-13,1600037.6225938175
2018-04-16,1612973.0179491208
2018-04-17,1598632.392393918
2018-04-18,1610853.0217625638
2018-04-19,1597951.0400844775
2018-04-20,1597114.7596579024
2018-04-23,1622716.0971818944
2018-04-24,1631517.465241426
2018-04-25,1629388.2620690463
2018-04-26,1648804.6350478018
2018-04-27,1662267.0145027875
2018-04-30,1664887.9191010087
2018-05-01,1672006.628933736
2018-05-02,1650420.9968947088
2018-05-03,1656665.1955836553
2018-05-04,1653910.236801256
2018-05-07,1648574.9607229356
2018-05-08,1662371.4387415268
2018-05-09,1652632.6701903238
2018-05-10,1667057.3477375482
2018-05-11,1667254.1507872415
2018-05-14,1668727.2456703272
2018-05-15,1661111.25586399
2018-05-16,1676472.4556241524
2018-05-17,1677892.9653644278
2018-05-18,1717640.0179694341
2018-05-21,1738356.5189196256
2018-05-22,1746625.816700905
2018-05-23,1752879.564866913
2018-05-24,1745092.7419032815
2018-05-25,1747616.8799811797
2018-05-29,1753948.2750662537
2018-05-30,1765923.3018342985
2018-05-31,1761306.302033346
2018-06-01,1776859.9158742637
2018-06-04,1779418.32567111
2018-06-05,1784953.3947750619
2018-06-06,1781792.9822332517
2018-06-07,1790632.065346571
2018-06-08,1778593.88915898
2018-06-11,1772063.8162674643
2018-06-12,1731509.0221054254
2018-06-13,1736329.9974080329
2018-06-14,1707158.2716957438
2018-06-15,1730532.28253326
2018-06-18,1730858.9598462628
2018-06-19,1744720.287272728
2018-06-20,1726060.3085494856
2018-06-21,1762592.2840843154
2018-06-22,1780619.9673742387
2018-06-25,1787799.4687877663
2018-06-26,1782701.3451180127
2018-06-27,1780918.645413877
2018-06-28,1780918.645413877
2018-06-29,1780918.645413877
2018-07-02,1780918.645413877
2018-07-03,1780918.645413877
2018-07-05,1780918.645413877
2018-07-06,1780918.645413877
2018-07-09,1780918.645413877
2018-07-10,1780918.645413877
2018-07-11,1780918.645413877
2018-07-12,1780918.645413877
2018-07-13,1780918.645413877
2018-07-16,1780918.645413877
2018-07-17,1780918.645413877
2018-07-18,1780918.645413877
2018-07-19,1780918.645413877
2018-07-20,1780918.645413877
2018-07-23,1780918.645413877
2018-07-24,1780918.645413877
2018-07-25,1780918.645413877
2018-07-26,1780918.645413877
2018-07-27,1780918.645413877
2018-07-30,1780918.645413877
2018-07-31,1780918.645413877
2018-08-01,1780918.645413877
2018-08-02,1780918.645413877
2018-08-03,1780918.645413877
2018-08-06,1780918.645413877
2018-08-07,1781740.8989018956
2018-08-08,1787938.6905448632
2018-08-09,1787350.7106612257
2018-08-10,1785563.366934995
2018-08-13,1785563.366934995
2018-08-14,1785563.366934995
2018-08-15,1785563.366934995
2018-08-16,1785563.366934995
2018-08-17,1785563.366934995
2018-08-20,1785563.366934995
2018-08-21,1785563.366934995
2018-08-22,1785563.366934995
2018-08-23,1785563.366934995
2018-08-24,1785563.366934995
2018-08-27,1785563.366934995
2018-08-28,1785563.366934995
2018-08-29,1785563.366934995
2018-08-30,1785563.366934995
2018-08-31,1785563.366934995
2018-09-04,1785563.366934995
2018-09-05,1783469.0044575129
2018-09-06,1794158.263515051
2018-09-07,1777913.5611335568
2018-09-10,1784351.4046049411
2018-09-11,1799442.926088513
2018-09-12,1795272.1829109942
2018-09-13,1813209.123528639
2018-09-14,1811395.9160820062
2018-09-17,1810286.6750718013
2018-09-18,1809672.1247866468
2018-09-19,1796216.5656223847
2018-09-20,1795617.7957006956
2018-09-21,1795617.7957006956
2018-09-24,1793321.6738451626
2018-09-25,1737417.795153226
2018-09-26,1713978.693724039
2018-09-27,1762631.1202486209
2018-09-28,1743755.9472369074
2018-10-01,1795303.0750552136
2018-10-02,1788752.0732055816
2018-10-03,1786963.3234207626
2018-10-04,1786963.3234207626
2018-10-05,1786963.3234207626
2018-10-08,1786963.3234207626
2018-10-09,1786963.3234207626
2018-10-10,1786963.3234207626
2018-10-11,1786963.3234207626
2018-10-12,1786963.3234207626
2018-10-15,1786963.3234207626
2018-10-16,1786963.3234207626
2018-10-17,1786963.3234207626
2018-10-18,1786963.3234207626
2018-10-19,1786963.3234207626
2018-10-22,1786963.3234207626
2018-10-23,1786963.3234207626
2018-10-24,1786963.3234207626
2018-10-25,1786963.3234207626
2018-10-26,1786963.3234207626
2018-10-29,1786963.3234207626
2018-10-30,1782696.202793603
